title,url,discoutned_price,original_price,User-Agent
Reusable Face-Shielding Face Mask Anti-Fog Anti-Splash Face Shield HHI-581838,https://www.tinydeal.com/reusable-face-shielding-face-mask-anti-fog-anti-splash-face-shield-p-200342.html,3.19€,4.19€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
1/2 pcs Car Visor Glasses Sunglasses Ticket Clip Holder - Color Assorted RIG-179460,https://www.tinydeal.com/12-pcs-car-visor-glasses-sunglasses-ticket-clip-holder-color-assorted-p-90302.html,1.19€,3.39€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Portable USB Copy Board Ultrathin A4 LED Light Box Artcraft Tracing Light Pad HHI-557615,https://www.tinydeal.com/portable-usb-copy-board-ultrathin-a4-led-light-box-artcraft-tracing-light-pad-p-179183.html,10.76€,16.30€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
SanDisk A1 64GB UHS-I / Class 10 up to 98MB / s Micro SDHC Memory Card EFM-530162,https://www.tinydeal.com/sandisk-a1-64gb-uhs-i-class-10-up-to-98mb-s-micro-sdhc-memory-card-p-165915.html,9.58€,16.65€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
5 x Reusable Face-Shielding Face Mask Anti-Fog Anti-Splash Face Shield KB-581849,https://www.tinydeal.com/5-x-reusable-face-shielding-face-mask-anti-fog-anti-splash-face-shield-p-200348.html,12.43€,20.64€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Teeth Whitening Pen Tooth Gel Whitener Bleach HBI-113105,https://www.tinydeal.com/teeth-whitening-pen-tooth-gel-whitener-bleach-p-66709.html,1.73€,5.15€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Detachable Baseball Protective Clear Face mask Cap Anti-Splash Hat S-581830,https://www.tinydeal.com/detachable-baseball-protective-clear-face-mask-cap-anti-splash-hat-p-200362.html,2.09€,3.22€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Artificial Silicone Soft Bait Set Luminous Shrimp Fishing Lure with Hook SFS-545519,https://www.tinydeal.com/artificial-silicone-soft-bait-set-luminous-shrimp-fishing-lure-with-hook-p-173693.html,1.00€,2.36€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
Car Paint Scratches Repair Pen Brush Waterproof Paint Marker Pen Car Maintain RTH-571469,https://www.tinydeal.com/car-paint-scratches-repair-pen-brush-waterproof-paint-marker-pen-car-maintain-p-182211.html,1.28€,4.21€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
H96 MAX RK3318 4GB RAM 64GB ROM 5G WIFI bluetooth 4.0 Android 9.0 4K TV Box E-571219,https://www.tinydeal.com/h96-max-rk3318-4gb-ram-64gb-rom-5g-wifi-bluetooth-40-android-90-4k-tv-box-p-182191.html,45.22€,85.34€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
300-LED 5M 5050 SMD 72W Indoor LED Light Strip HLD-232068,https://www.tinydeal.com/300-led-5m-5050-smd-72w-indoor-led-light-strip-p-105499.html,7.21€,8.51€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
6pcs 6-Layer Razor Blades + Shaver Handle HHI-557375,https://www.tinydeal.com/6pcs-6-layer-razor-blades-shaver-handle-p-178095.html,3.07€,5.74€ ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36 "
